"","labID","genos","missing"
"1","z0005757",233,105
"2","z0005758",270,68
"3","z0016577",283,55
"4","z0029828",254,84
"5","z0029831",224,114
"6","z0029860",260,78
"7","z0029863",292,46
"8","z0037611",210,128
"9","z0040308",239,99
"10","z0040387",225,113
"11","z0041243",291,47
"12","z0041248",249,89
"13","z0041250",289,49
"14","z0041274",243,95
"15","z0041519",292,46
"16","z0043243",234,104
"17","z0043278",298,40
"18","z0043489",299,39
"19","z0043494",286,52
"20","z0043496",256,82
"21","z0043498",245,93
"22","z0043566",243,95
"23","z0043599",220,118
"24","z0043627",164,174
"25","z0043650",291,47
"26","z0043668",226,112
"27","z0043674",273,65
"28","z0043693",291,47
"29","z0043819",231,107
"30","z0043994",298,40
"31","z0044023",269,69
"32","z0044033",278,60
"33","z0044432",302,36
"34","z0045347",195,143
"35","z0045398",286,52
"36","z0045407",194,144
"37","z0051326",290,48
"38","z0051380",292,46
"39","z0051875",285,53
"40","z0051895",297,41
"41","z0051918",285,53
"42","z0051929",234,104
"43","z0051959",158,180
"44","z0053025",235,103
"45","z0053055",165,173
"46","z0053082",144,194
"47","z0053096",304,34
"48","z0053101",291,47
"49","z0053133",248,90
"50","z0053138",300,38
"51","z0053149",204,134
"52","z0053757",270,68
"53","z0053760",251,87
"54","z0053842",291,47
"55","z0053846",247,91
"56","z0056034",271,67
"57","z0056064",282,56
"58","z0056065",281,57
"59","z0056069",239,99
"60","z0056073",262,76
"61","z0056089",191,147
"62","z0056374",261,77
"63","z0056389",270,68
"64","z0061969",268,70
"65","z0066805",229,109
"66","z0107078",229,109
"67","z0108513",280,58
"68","z0175378",246,92
"69","z0175915",254,84
"70","z0175916",254,84
"71","z0175927",260,78
"72","z0187857",289,49
"73","z0187859",256,82
"74","z0187911",234,104
"75","z0195258",286,52
"76","z0195643",270,68
"77","z0195647",231,107
"78","z0195648",191,147
"79","z0195653",225,113
"80","z0195655",223,115
"81","z0195657",252,86
"82","z0195659",250,88
"83","z0195663",238,100
"84","z0195664",167,171
"85","z0195665",173,165
"86","z0195668",276,62
"87","z0195670",161,177
"88","z0195671",178,160
"89","z0195672",144,194
"90","z0195673",267,71
"91","z0195674",173,165
"92","z0195675",217,121
"93","z0195678",169,169
"94","z0195682",223,115
"95","z0195683",243,95
"96","z0195684",145,193
"97","z0195688",254,84
"98","z0195689",221,117
"99","z0195691",201,137
"100","z0195693",226,112
"101","z0195705",290,48
"102","z0195736",281,57
"103","z0195751",168,170
"104","z0195755",266,72
"105","z0195756",169,169
"106","z0195762",264,74
"107","z0195767",233,105
"108","z0195770",183,155
"109","z0195771",165,173
"110","z0195772",174,164
"111","z0195773",283,55
"112","z0195776",177,161
"113","z0195777",293,45
"114","z0195778",238,100
"115","z0195784",298,40
"116","z0195791",287,51
"117","z0196805",225,113
"118","z0196810",262,76
"119","z0196811",293,45
"120","z0196828",294,44
"121","z0196829",313,25
"122","z0196838",281,57
"123","z0196839",264,74
"124","z0196846",251,87
"125","z0196847",288,50
"126","z0196851",281,57
"127","z0196887",296,42
"128","z0196891",280,58
"129","z0196894",261,77
"130","z0197660",231,107
"131","z0197664",267,71
"132","z0197682",294,44
