"","stratum","HI.WA.SBC","MnMx.CA.OR.WA","CentAm.CA.OR.WA","SMx.CA.OR.WA","HI.SEAK.NBC","HI.GOA","MnMx.SEAK.NBC","HI.Al.Ber","Rev.GOA"
"1","CentAm.CA.OR.WA",7.0671862731671e-10,0.0740301042618757,0.889595415487917,0.0350685927182969,0.00122772018979829,2.95072288709664e-05,5.05846643967102e-08,1.87551344425213e-05,2.98536874151182e-05
"2","HI.Al.Ber",1.07738624465331e-09,0.00254467088436788,0.00949883042819264,0.00126083249340462,0.0485214300133045,0.000587522182315269,4.28879277997306e-09,0.93758070340056,6.00523167646164e-06
"3","HI.GOA",8.75533556881255e-07,8.99127822454368e-05,3.30127326768678e-05,3.91718294923912e-05,0.0613570551380442,0.938421851513795,5.53552020075354e-07,5.70017563823081e-05,5.65161786826781e-07
"4","HI.SEAK.NBC",4.46337054042421e-06,0.00413321336679285,0.0204352981980711,5.81152577839903e-05,0.93352201300939,0.0417308420924322,3.95442189480453e-07,5.64555772378336e-05,5.92036855624616e-05
"5","HI.WA.SBC",0.99631595784369,1.68537269051647e-05,7.07871777395006e-05,3.2168412820062e-07,0.00357282474851484,4.65397338731487e-06,4.70250839077216e-13,1.93369472365325e-10,1.86006517953727e-05
"6","MnMx.CA.OR.WA",9.34375809877046e-09,0.897268704983841,0.0695154690976536,0.028050274138858,0.00504044799043058,6.10238899188741e-05,7.50379462531262e-08,1.30358632527581e-06,6.26919312680589e-05
"7","MnMx.SEAK.NBC",8.7813041264721e-13,1.26905386144682e-06,7.82224992818277e-07,3.4739630931034e-08,7.43371692796759e-06,1.60148934959298e-07,0.99999031100797,8.99174211651495e-09,1.15061305561296e-10
"8","Rev.GOA",1.15495208685068e-07,0.00592436774113956,0.0348600005924681,0.0447134183737883,0.0395303883571921,0.00144690955960393,6.52560871998062e-07,0.000418823050337674,0.87310532426939
"9","SMx.CA.OR.WA",3.29093984826881e-10,0.076470802162225,0.0261579804580449,0.893436069883832,0.0038622116867955,4.64651961151674e-05,5.83886640778359e-08,2.10956705151194e-07,2.62009385238957e-05
